32	26	2	3	1	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	6	6	7	1	1	6	1	7	6	1	7	1	2	1	0.9411764706	1	4	5	5	1	1	1	0	0	0
33	20	1	3	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	5	5	7	5	5	6	7	7	6	5	7	1	1	5	0.9411764706	1	6	5.75	6.25	1	1	1	0	0	0
34	20	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	3	0.9411764706	1	1	1	1	1	1	1	0	0	0
35	24	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	4	3	7	3	7	7	3	7	1	2	5	0.9411764706	1	5	6.25	6	1	1	1	0	0	0
36	22	1	3	2	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	1	3	4	4	3	2	3	1	2	3	3	3	2	3	1	4	2	2	4	3	2	2	2	4	1	7	7	6	5	7	6	5	6	5	7	5	4	7	1	2	5	0.9411764706	2.5714285714	5.75	6	5.75	2.3333333333	3.1111111111	2.3	0	0	0
37	23	1	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	3	1	3	1	4	1	2	2	1	2	1	1	2	1	3	2	3	1	1	3	1	7	7	5	6	7	1	1	7	1	7	5	1	7	1	1	5	0.9411764706	1.75	4	5.25	4.5	1.8888888889	1.7777777778	1.6	0	0	0
38	20	1	3	1	2	1	1	1	2	1	1	2	1	0	0	0	1	1	1	1	1	0	2	1	2	1	3	1	2	2	3	3	1	3	1	1	3	1	2	1	2	4	2	4	3	3	2	1	4	1	7	7	7	7	7	7	6	7	6	7	6	6	7	1	1	5	1.7647058824	2.1071428571	6.5	7	6.5	2.1111111111	1.8888888889	2.3	1	1	0.6666666667
39	25	2	3	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	6	6	7	6	7	6	6	7	1	1	5	0.9411764706	1	6.5	6.75	6.5	1	1	1	0	0	0
40	24	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	1	1	7	7	7	7	7	7	5	6	7	1	2	3	0.9411764706	1	6.75	5.5	5	1	1	1	0	0	0
41	25	2	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	1	1	7	1	1	5	0.9411764706	1	1	2.25	2.25	1	1	1	0	0	0
42	22	1	3	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	2	1	1	3	1	2	1	4	1	1	4	1	4	1	1	4	1	4	3	4	4	1	4	1	7	7	5	6	7	1	1	6	1	7	5	1	7	1	1	1	0.9411764706	2.1785714286	4	5	4.5	2.4444444444	1.8888888889	2.2	0	0	0
43	23	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	4	0.9411764706	1	7	7	7	1	1	1	0	0	0
44	19	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	6	6	6	6	4	4	7	6	6	7	3	7	1	1	4	0.9411764706	1	3.75	5.75	6.25	1	1	1	0	0	0
45	25	2	3	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	1	4	4	1	4	4	1	4	1	-999	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	6	7	7	7	6	2	7	7	1	1	4	0.9411764706	1.75	4	3.75	4	2.1111111111	2	1.2	0	0	0
46	27	2	3	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	2	2	7	2	2	7	6	7	2	6	7	1	2	5	0.9411764706	1	5.5	4.5	4.25	1	1	1	0	0	0
47	23	1	1	2	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4	1	4	4	2	4	3	1	3	4	4	3	1	1	2	2	2	1	1	1	1	4	2	4	4	4	4	4	4	4	4	3	3	4	6	6	1	2	4	0.9411764706	2.1428571429	4.5	4	3.5	1.7777777778	2.7777777778	1.9	0	0	0
48	24	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	4	0.9411764706	1	7	7	7	1	1	1	0	0	0
49	24	1	3	2	2	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2	3	1	1	2	1	2	2	1	2	1	1	1	2	2	1	1	1	4	2	1	4	2	1	1	1	4	1	7	7	5	5	7	5	5	7	5	7	2	5	7	1	2	4	1.1764705882	1.7142857143	6	6	4.75	1.5555555556	2.2222222222	1.4	0	0.5	0.3333333333
50	25	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	-999	-999	2	3	0.9411764706	1	7	7	7	1	1	1	0	0	0
51	26	2	2	-999	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	3	1	2	1	1	2	1	2	1	2	2	1	2	1	3	1	1	3	2	1	2	1	3	1	7	7	7	7	7	7	7	7	7	7	7	7	7	1	2	2	0.9411764706	1.6428571429	7	7	7	1.6666666667	1.7777777778	1.5	0	0	0
52	20	1	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	1	2	1	2	1	1	2	1	3	1	2	2	1	3	1	4	2	1	4	2	1	2	1	4	1	7	7	7	7	7	7	7	7	7	7	7	7	7	1	2	1	0.9411764706	1.9285714286	7	7	7	2.1111111111	2.1111111111	1.6	0	0	0
53	27	2	2	2	6	2	2	0	2	0	3	3	3	2	0	3	2	3	3	2	2	2	4	4	3	3	3	1	3	2	2	3	3	2	3	2	3	1	2	2	4	2	3	3	2	4	3	4	1	2	4	4	4	4	4	4	4	4	4	4	4	4	3	6	2	4	2.1764705882	2.6428571429	4	4	4	2.7777777778	2.5555555556	2.6	1.2	2.5	2.1666666667
54	26	2	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	1	1	7	1	7	7	1	7	2	1	3	0.9411764706	1	4	5.5	5.5	1	1	1	0	0	0
55	27	2	3	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	6	2	2	6	2	2	7	7	7	2	7	7	1	2	3	0.9411764706	1	4.75	4.25	4.5	1	1	1	0	0	0
56	27	2	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	4	4	1	4	4	4	1	4	1	4	4	1	4	4	4	4	2	4	4	4	3	1	4	4	2	7	5	6	6	5	5	6	6	2	5	7	7	1	1	5	0.9411764706	3.0357142857	5.25	5.75	4.5	3.1111111111	3	3	0	0	0
57	28	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	2	1	4	1	1	1	1	4	1	1	1	4	4	1	4	3	1	1	1	1	4	3	1	1	4	1	7	7	1	7	7	1	1	6	1	6	4	1	1	7	1	5	1.0588235294	1.9285714286	4	5.25	3	1.8888888889	1.6666666667	2.2	0.6	0	0
58	31	3	3	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	1	1	1	2	4	3	4	1	4	1	3	4	1	4	4	4	2	2	4	4	4	4	4	4	4	6	5	3	4	4	4	3	6	4	7	6	4	7	1	1	5	1	2.9642857143	4.5	4.5	5	3.1111111111	3	2.8	0	0.1666666667	0
